"YEAR","MONTH","CA","FL","IL","NC","PA"
2001,1,85430,2719355,4360851,2602572,4699883
2001,2,82330,2165738,3544096,2098918,3709166
2001,3,43270,2160492,3617251,2528974,4298580
2001,4,90970,2107447,3273087,2199688,3653947
2001,5,86680,2403321,3648772,2227106,3797669
2001,6,93180,2601121,3970632,2589126,4002803
2001,7,96160,2708541,4628132,2796904,4536958
2001,8,101180,2752633,4754960,3107255,4705850
2001,9,77190,2454716,3936913,2373275,4020143
2001,10,63010,2371781,3463030,2222796,3932833
2001,11,62960,1933299,3429459,2039519,3835479
2001,12,89710,2222593,3833382,2267131,4222183
2002,1,87299,2474002,3883896,2355182,4449064
2002,2,89901,2087993,3655298,2027645,3804832
2002,3,94771,1889077,3889802,2485559,3755534
2002,4,84479,1911007,3500658,2127050,3651261
2002,5,77060,2362935,3788341,2073759,3646947
2002,6,96473,2425770,4320426,2642934,4102094
2002,7,97495,2772196,4980881,3029226,4900040
2002,8,96296,2822957,5016551,2969651,4776451
2002,9,88697,2475628,4601840,2713443,4076640
2002,10,101963,2305353,4258888,2517298,4225219
2002,11,71429,2079067,3940329,2343706,4170480
2002,12,95309,2511359,4222180,2504015,4773360
2003,1,90253,2755686,4839614,2833939,4788397
2003,2,84434,2209715,4195255,2555540,4122264
2003,3,75914,2047766,3818643,2534456,4087785
2003,4,49367,2059593,3471423,1905069,3907861
2003,5,65592,2572719,3503751,2131354,3679122
2003,6,81421,2516321,4091232,2442520,4077131
2003,7,86147,2749832,4930395,2681712,4672058
2003,8,85520,2680806,5082455,2987547,4806169
2003,9,85309,2443804,4315085,2545537,4253461
2003,10,83845,1962090,3919034,2016993,4096139
2003,11,81082,1942307,4271269,2254011,4082915
2003,12,81984,2257635,4733001,2810271,4726645
2004,1,76939,2432555,4994091,2844042,4571041
2004,2,77091,2013459,4665773,2725526,4331457
2004,3,76782,1921633,4194879,2612067,4274659
2004,4,24480,1788238,3649548,2216284,3947733
2004,5,59981,2381474,4274608,2611043,3807620
2004,6,69785,2546631,4454014,2519121,3916651
2004,7,77955,2547510,5006352,2900637,4575268
2004,8,75374,2591195,4763953,2697274,4605423
2004,9,66665,2144776,4634138,2051285,4032322
2004,10,64855,2147594,4338255,2173865,3721957
2004,11,56356,2175126,4576446,2080113,4618266
2004,12,80558,2470108,5154052,2381576,5206079
2005,1,58793,2299033,4990158,2505538,4568341
2005,2,61974,1837668,4144009,2335779,4415346
2005,3,67722,1706506,4332599,2584291,4959432
2005,4,56488,1713745,3729267,2209839,3980361
2005,5,63534,2266072,3784792,2210132,4019272
2005,6,71468,2329879,4743881,2676921,4576713
2005,7,72952,2430180,5035267,3084951,5248368
2005,8,67854,2451680,5094044,3232976,5245846
2005,9,64818,2341042,4805190,2856231,4526653
2005,10,63072,2265223,4328790,2487448,4026158
2005,11,65432,2137087,4124150,2314029,4008265
2005,12,72389,2379612,5214352,2686041,4717189
2006,1,71305,2423290,4796418,2299754,4795825
2006,2,65320,2104839,4438245,2460139,4306853
2006,3,53928,1922522,4511782,2473234,4801852
2006,4,57713,1960621,3413211,2167965,4126883
2006,5,47541,2300305,3916365,2630621,4277702
2006,6,73332,2446339,4422576,2810725,4815384
2006,7,70902,2565834,5011598,3006987,5353094
2006,8,77846,2635720,5297745,3185494,5287855
2006,9,73234,2417116,4536993,2371083,4133352
2006,10,66370,2102590,4777934,2250370,4499725
2006,11,77573,1969140,4601367,2357351,4491523
2006,12,70568,2534130,4791509,2333574,4924184
2007,1,78038,2621842,5411962,2414518,4508338
2007,2,68712,2090497,4751819,2800706,4470726
2007,3,48411,2162999,4819381,2581980,4812952
2007,4,67406,1773711,3832721,2421721,4569807
2007,5,60454,2252256,3883172,2712514,4075799
2007,6,75175,2535572,4810302,2792831,4729224
2007,7,73315,2612470,5216201,2877570,5137547
2007,8,78477,2776413,5400633,3177143,5228803
2007,9,74974,2572487,4839194,2731231,4381308
2007,10,68087,2393703,4824292,2699297,4384458
2007,11,66595,2208103,4313938,2512190,4410619
2007,12,77008,2517974,4958593,2578432,4780565
2008,1,82728,2540512,5212189,2814337,5002881
2008,2,59320,2269964,4940393,2552240,4677731
2008,3,60862,2006720,4821307,2627805,4530470
2008,4,77146,1830450,4188507,2372853,4003508
2008,5,53196,2444583,3847518,2586092,3875952
2008,6,77984,2500445,4970074,2972461,4722451
2008,7,85699,2799037,5403400,3006953,5118439
